Date,Open,High,Low,Close,Adj Close,Volume
2023-04-17,54.869999,55.900002,54.860001,55.770000,55.291100,3195600
2023-04-18,55.730000,56.209999,55.509998,55.610001,55.132477,3626400
2023-04-19,57.000000,57.990002,56.830002,57.360001,56.867451,5782900
2023-04-20,57.380001,57.400002,56.060001,56.490002,56.004921,3453900
2023-04-21,56.340000,57.000000,56.119999,56.970001,56.480797,3163900
2023-04-24,57.090000,57.209999,56.189999,56.580002,56.094147,1775400
2023-04-25,56.299999,56.430000,55.209999,55.270000,54.795395,2103900
2023-04-26,54.939999,55.279999,53.849998,54.130001,53.665184,2077000
2023-04-27,54.240002,54.930000,54.020000,54.820000,54.349258,1591600
2023-04-28,54.630001,55.410000,54.540001,55.369999,54.894535,2267800
2023-05-01,55.240002,55.410000,54.910000,55.049999,54.577282,1237700
2023-05-02,54.689999,54.810001,53.410000,54.270000,53.803982,1745700
2023-05-03,54.459999,54.849998,53.509998,53.560001,53.100082,1609100
2023-05-04,53.529999,53.980000,53.380001,53.790001,53.328106,1615800
2023-05-05,54.290001,55.000000,54.230000,54.919998,54.448399,1978600
2023-05-08,55.000000,55.139999,54.639999,54.919998,54.448399,1906100
2023-05-09,54.669998,55.070000,54.549999,54.560001,54.091492,1040300
2023-05-10,55.139999,55.270000,54.470001,55.200001,54.725998,1778300
2023-05-11,55.070000,55.259998,54.500000,55.220001,54.745827,1387700
2023-05-12,55.400002,55.660000,54.990002,55.139999,54.666508,2225000
2023-05-15,55.299999,55.529999,55.000000,55.169998,54.696255,1224100
2023-05-16,54.869999,55.009998,54.540001,54.540001,54.071667,1213900
2023-05-17,54.680000,55.009998,53.939999,54.930000,54.458313,1858800
2023-05-18,54.980000,55.299999,54.470001,55.220001,54.745827,1620200
2023-05-19,55.349998,55.669998,54.939999,55.320000,54.844963,1677900
2023-05-22,55.320000,55.709999,55.029999,55.459999,54.983761,1439000
2023-05-23,55.320000,55.380001,54.209999,54.400002,53.932869,1939900
2023-05-24,54.009998,54.180000,53.660000,53.860001,53.397503,1664100
2023-05-25,53.680000,53.790001,53.080002,53.180000,52.723343,2287800
2023-05-26,53.040001,54.450001,52.990002,54.220001,53.754414,3542700
2023-05-30,54.419998,55.020000,54.270000,54.950001,54.478146,3824300
2023-05-31,54.919998,55.619999,54.360001,55.349998,54.874706,7539700
2023-06-01,55.200001,55.490002,54.900002,55.029999,54.557457,2643500
2023-06-02,55.250000,56.470001,55.250000,56.330002,55.846294,2584200
2023-06-05,56.250000,56.360001,55.730000,56.020000,55.538956,2420700
2023-06-06,56.020000,57.220001,55.900002,57.130001,56.639427,2745100
2023-06-07,57.400002,58.029999,57.020000,57.049999,56.560108,3605800
2023-06-08,56.790001,57.759998,56.560001,57.669998,57.174786,2844100
2023-06-09,57.820000,57.889999,57.450001,57.830002,57.333416,1573900
2023-06-12,52.099998,53.450001,50.029999,51.000000,50.562061,16708800
2023-06-13,51.470001,51.799999,50.840000,51.060001,50.621548,6385600
2023-06-14,51.049999,51.939999,50.630001,51.160000,50.720688,7437300
2023-06-15,50.900002,52.520000,50.830002,52.270000,52.044964,4262800
2023-06-16,52.639999,52.639999,51.099998,51.220001,50.999485,7420400
2023-06-20,50.849998,51.660000,50.459999,51.619999,51.397758,4598700
2023-06-21,51.590000,51.590000,50.220001,50.560001,50.342327,4011000
2023-06-22,50.330002,50.410000,49.480000,49.549999,49.336670,4616300
2023-06-23,49.349998,49.740002,48.950001,49.639999,49.426285,5616200
2023-06-26,49.669998,49.750000,49.330002,49.610001,49.396416,3202400
2023-06-27,49.529999,50.160000,49.320000,49.820000,49.605511,4141600
2023-06-28,49.849998,50.040001,49.400002,49.580002,49.366547,4809000
2023-06-29,49.490002,49.849998,49.330002,49.849998,49.635380,2877300
2023-06-30,50.130001,50.430000,49.810001,49.849998,49.635380,3749100
2023-07-03,49.680000,50.090000,49.320000,49.700001,49.486027,2000600
2023-07-05,49.689999,50.000000,49.340000,49.919998,49.705078,3627200
2023-07-06,49.419998,49.560001,48.900002,48.990002,48.779083,3618000
2023-07-07,48.880001,49.270000,48.650002,48.970001,48.759171,3137900
2023-07-10,49.000000,49.419998,48.840000,49.099998,48.888607,5553700
2023-07-11,49.060001,49.750000,48.980000,49.709999,49.495983,3792800
2023-07-12,50.070000,50.279999,49.830002,50.000000,49.784737,2991500
2023-07-13,50.160000,51.279999,50.090000,51.169998,50.949696,3141600
2023-07-14,51.369999,51.610001,50.540001,50.610001,50.392109,3225700
2023-07-17,50.549999,50.970001,50.119999,50.900002,50.680862,3629200
2023-07-18,51.040001,51.500000,50.840000,51.380001,51.158794,5437800
2023-07-19,51.650002,52.549999,50.320000,50.430000,50.212883,5672500
2023-07-20,50.660000,50.660000,49.150002,49.610001,49.396416,4725700
2023-07-21,50.049999,50.900002,49.610001,50.709999,50.491676,11488100
2023-07-24,50.900002,51.250000,50.590000,51.049999,50.830212,3487100
2023-07-25,51.029999,51.360001,50.900002,51.070000,50.850128,2821900
2023-07-26,50.939999,51.330002,50.720001,50.919998,50.700771,2496800
2023-07-27,50.880001,51.549999,50.130001,50.270000,50.053574,2079500
2023-07-28,50.310001,50.660000,50.009998,50.490002,50.272629,1827400
2023-07-31,50.689999,50.709999,50.279999,50.490002,50.272629,2751700
2023-08-01,50.310001,50.459999,50.080002,50.240002,50.023705,2065400
2023-08-02,49.830002,50.070000,49.500000,49.669998,49.456154,2191100
2023-08-03,49.560001,49.639999,49.099998,49.380001,49.167404,2663400
2023-08-04,49.529999,50.310001,49.380001,49.450001,49.237103,2013600
2023-08-07,49.660000,50.099998,49.630001,50.000000,49.784737,1725900
2023-08-08,49.669998,50.279999,49.400002,50.040001,49.824562,2250700
2023-08-09,49.880001,50.669998,49.820000,50.459999,50.242752,2647000
2023-08-10,50.630001,51.799999,50.540001,51.509998,51.288231,3537300
2023-08-11,51.400002,51.889999,50.910000,50.959999,50.740601,2663500
2023-08-14,50.959999,51.330002,50.910000,51.080002,50.860088,2683200
2023-08-15,50.919998,51.110001,50.439999,50.570000,50.352280,1946700
2023-08-16,50.299999,51.139999,50.180000,50.849998,50.631073,2463900
2023-08-17,50.950001,52.279999,50.900002,51.669998,51.447544,5205400
2023-08-18,51.320000,51.900002,51.189999,51.799999,51.576984,3380100
2023-08-21,51.799999,51.950001,51.270000,51.790001,51.567028,2299000
2023-08-22,51.950001,52.099998,51.630001,51.959999,51.736294,2594500
2023-08-23,52.000000,52.720001,51.669998,52.650002,52.423328,2318500
2023-08-24,52.700001,53.439999,52.299999,52.330002,52.104706,2141400
2023-08-25,52.389999,52.950001,52.189999,52.730000,52.502979,1866400
2023-08-28,52.820000,53.490002,52.750000,53.169998,52.941086,1633300
2023-08-29,53.349998,54.150002,52.950001,53.340000,53.110355,1684300
2023-08-30,53.279999,53.480000,52.480000,52.660000,52.433281,2146800
2023-08-31,52.759998,53.060001,52.349998,52.480000,52.254059,2856300
